證券代碼,公司名稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,漲跌停,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,次日開盤參考價,次日漲停價,次日跌停價,注意股票(A),處置股票(D),全額交割(Y),市場別
2330,台積電,20221121,479.854,481.823,472.964,474.44,30609,14843805,-1.0267,0.118,25930380,12498443,481.5,482.0,-1.032,27.789,8.901,35815,14.09,16.1152,4.56,5.0067,,6.6549,2.28,2.2822,-5.0,1.848,482.0,530.0,434.0,,,,TSE
2317,鴻海,20221122,95.3913,95.8683,95.3913,95.8683,28582,2864959,0.5,0.2062,13862991,1393231,100.0,100.5,0.4988,3.078,1.573,15095,9.54,8.9588,0.96,1.0018,,0.2242,5.17,5.1741,0.5,0.5,100.5,110.5,90.5,,,,TSE
2330,台積電,20221122,468.535,483.299,468.535,483.299,39329,19112616,1.8672,0.1517,25930380,12731817,490.5,491.0,1.85,28.129,10.492,40964,14.36,16.4161,4.65,5.1002,,6.7792,2.24,2.2403,9.0,3.112,491.0,540.0,442.0,,,,TSE
1216,統一,20221122,63.6,63.8,63.3,63.8,13406,851612,-0.6231,0.2359,5682015,362513,63.7,63.8,-0.625,0.801,0.468,7159,20.13,20.3073,2.96,3.1951,,0.7317,4.23,4.232,-0.4,0.7788,63.8,70.1,57.5,,,,TSE
1216,統一,20221123,64.0,64.1,63.3,64.0,11373,723029,0.3135,0.2002,5682015,363649,63.9,64.0,0.313,0.8,0.401,6696,20.19,20.371,2.97,3.2051,,0.734,4.22,4.2187,0.2,1.2539,64.0,70.4,57.6,,,,TSE
2317,鴻海,20221123,96.3452,96.8222,95.8683,95.8683,32079,3239173,0.0,0.2314,13862991,1393231,100.5,101.0,0.0,3.064,1.794,15745,9.54,8.9588,0.96,1.0018,,0.2242,5.17,5.1741,0.0,0.995,100.5,110.5,90.5,,,,TSE
2330,台積電,20221123,486.744,488.221,480.839,484.284,34752,17111333,0.2037,0.134,25930380,12757747,492.0,492.5,0.2035,28.058,9.479,32889,14.39,16.4495,4.66,5.1106,,6.793,2.24,2.2358,1.0,1.5275,492.0,541.0,443.0,,,,TSE
2330,台積電,20221124,486.252,488.221,484.284,488.221,28477,14073196,0.813,0.1098,25930380,12861469,495.5,496.0,0.8097,27.95,6.846,34387,14.5,16.5833,4.7,5.1521,,6.8482,2.22,2.2177,4.0,0.813,496.0,545.0,446.5,,,,TSE
2317,鴻海,20221124,95.8683,96.3452,95.3913,96.3452,42611,4279895,0.4975,0.3074,13862991,1400162,100.5,101.0,0.4963,3.043,2.082,21615,9.59,9.0034,0.97,1.0068,,0.2254,5.15,5.1485,0.5,0.995,101.0,111.0,90.9,,,,TSE
1216,統一,20221124,64.3,65.3,63.6,65.3,19311,1241259,2.0313,0.3399,5682015,371036,64.9,65.3,2.0109,0.806,0.604,7130,20.6,20.7847,3.03,3.2702,,0.7489,4.13,4.1348,1.3,2.6563,65.3,71.8,58.8,,,,TSE
1216,統一,20221125,64.5,65.7,64.2,65.7,17978,1165343,0.6126,0.3164,5682015,373308,65.3,65.7,0.6107,0.812,0.509,7421,20.73,20.9121,3.05,3.2903,,0.7535,4.11,4.1096,0.4,2.2971,65.7,72.2,59.2,,,,TSE
